Username,TimeStamp,Text,Replies,Retweets,Likes,Sentiment
Economic Times,2024-05-21T17:21:34.000Z,"चीते की चाल,बाज की नजर और ब्राह्मण पुत्र अय्यर की कप्तानी पर शक नहीं करते.

बीते वर्ल्ड कप में श्रेयस की पारी आप लोगो ने देखी होगी,एक से बढ़ कर एक परियां इन्होंने खेली है,

पण्डित श्रेयस अय्यर तथा सम्पूर्ण KKR टीम को #IPL2024 के फाइनल में पहुंचने की हार्दिक शुभकामनाएं
#KKRvsSRH",4,7,27,0.0
ESPNcricinfo,2024-05-21T14:03:44.000Z,"Head 
Starc 

Second ball!

http://es.pn/IPL24-Q1 | #KKRvSRH | #IPL2024",8,27,853,0.0
Aavishkar,2024-05-21T17:21:57.000Z,"Head 
Starc 

Second ball!

http://es.pn/IPL24-Q1 | #KKRvSRH | #IPL2024",8,27,853,0.0
SHAH RUKH KHAN FANS ASSOCIATION,2024-05-21T15:19:00.000Z,"Shah Rukh Khan and KolkataKnightRidersHead 
Starc 

Second ball!

http://es.pn/IPL24-Q1 | #KKRvSRH | #IPL2024",8,27,853,0.0
PuthiyathalaimuraiTV,2024-05-21T17:13:23.000Z,"Head 
Starc 

Second ball!

http://es.pn/IPL24-Q1 | #KKRvSRH | #IPL2024",8,27,853,0.0
Soham,2024-05-21T12:15:27.000Z,"Surya Kumar Yadav and KolkataKnightRidersHead 
Starc 

Second ball!

http://es.pn/IPL24-Q1 | #KKRvSRH | #IPL2024",8,27,853,0.0
CricWatcher,2024-05-21T14:03:43.000Z,"Head 
Starc 

Second ball!

http://es.pn/IPL24-Q1 | #KKRvSRH | #IPL2024",8,27,853,0.0
CricWatcher,2024-05-21T15:47:37.000Z,"Some late fireworks from Pat Cummins helped SRH to reach 159.

KKR needs 160 in 20 overs to qualify for the IPL 2024 Final.

#KKRvsSRH | #IPL2024 | #CricketTwitter",,,6,0.0258
Vistaar News,2024-05-21T13:44:38.000Z,"Some late fireworks from Pat Cummins helped SRH to reach 159.

KKR needs 160 in 20 overs to qualify for the IPL 2024 Final.

#KKRvsSRH | #IPL2024 | #CricketTwitter",,,6,0.0258
Vistaar News,2024-05-21T16:21:50.000Z,"Some late fireworks from Pat Cummins helped SRH to reach 159.

KKR needs 160 in 20 overs to qualify for the IPL 2024 Final.

#KKRvsSRH | #IPL2024 | #CricketTwitter",,,6,0.0258
Tulip୧⍤⃝,2024-05-21T16:20:38.000Z,"Some late fireworks from Pat Cummins helped SRH to reach 159.

KKR needs 160 in 20 overs to qualify for the IPL 2024 Final.

#KKRvsSRH | #IPL2024 | #CricketTwitter",,,6,0.0258
Psycho Naidu,2024-05-21T14:05:39.000Z,"Some late fireworks from Pat Cummins helped SRH to reach 159.

KKR needs 160 in 20 overs to qualify for the IPL 2024 Final.

#KKRvsSRH | #IPL2024 | #CricketTwitter",,,6,0.0258
Nadiah,2024-05-21T14:06:46.000Z,"Some late fireworks from Pat Cummins helped SRH to reach 159.

KKR needs 160 in 20 overs to qualify for the IPL 2024 Final.

#KKRvsSRH | #IPL2024 | #CricketTwitter",,,6,0.0258
فضولي,2024-05-21T15:39:02.000Z,"From 
قناة الجزيرةأخطار خارجية حقيقية وتحديات داخلية غير مسبوقة.. إيكونوميست تسأل: هل مزقت إسرائيل نفسها بحربها الكارثية على #غزة؟

#Iran #IranPresidentHelicopter #IranianPresident #EbrahimRaisi #Raisi #presidentofIran #KKRvsSRH 
 #IPL2024",,6,7,0.0
Gully Cricketer,2024-05-21T14:20:54.000Z,"أخطار خارجية حقيقية وتحديات داخلية غير مسبوقة.. إيكونوميست تسأل: هل مزقت إسرائيل نفسها بحربها الكارثية على #غزة؟

#Iran #IranPresidentHelicopter #IranianPresident #EbrahimRaisi #Raisi #presidentofIran #KKRvsSRH 
 #IPL2024",,6,7,0.0
PokéMegha,2024-05-21T12:30:00.000Z,"0:55أخطار خارجية حقيقية وتحديات داخلية غير مسبوقة.. إيكونوميست تسأل: هل مزقت إسرائيل نفسها بحربها الكارثية على #غزة؟

#Iran #IranPresidentHelicopter #IranianPresident #EbrahimRaisi #Raisi #presidentofIran #KKRvsSRH 
 #IPL2024",,6,7,0.0
shiv,2024-05-21T15:55:26.000Z,"أخطار خارجية حقيقية وتحديات داخلية غير مسبوقة.. إيكونوميست تسأل: هل مزقت إسرائيل نفسها بحربها الكارثية على #غزة؟

#Iran #IranPresidentHelicopter #IranianPresident #EbrahimRaisi #Raisi #presidentofIran #KKRvsSRH 
 #IPL2024",,6,7,0.0
MS SPORTS ,2024-05-21T13:38:13.000Z,"أخطار خارجية حقيقية وتحديات داخلية غير مسبوقة.. إيكونوميست تسأل: هل مزقت إسرائيل نفسها بحربها الكارثية على #غزة؟

#Iran #IranPresidentHelicopter #IranianPresident #EbrahimRaisi #Raisi #presidentofIran #KKRvsSRH 
 #IPL2024",,6,7,0.0
MS SPORTS ,2024-05-21T14:58:28.000Z,"أخطار خارجية حقيقية وتحديات داخلية غير مسبوقة.. إيكونوميست تسأل: هل مزقت إسرائيل نفسها بحربها الكارثية على #غزة؟

#Iran #IranPresidentHelicopter #IranianPresident #EbrahimRaisi #Raisi #presidentofIran #KKRvsSRH 
 #IPL2024",,6,7,0.0
रिया मीना,2024-05-21T15:27:39.000Z,"Abdul Samad c Shreyas Iyer b Harshit Rana 16(12)

#AbdulSamad #KKRvsSRH #KKRvSRH #SRHvKKR #SRHvsKKR #SunrisersHyderabad #IPLPlayoffs #Qualifer1 #TATAIPL2024 #TATAIPL #IPL #IPL2024 #MyKhelTelugu 
#KKRvsSRH",,1,2,0.0
Saabir Zafar,2024-05-21T15:58:58.000Z,"Abdul Samad c Shreyas Iyer b Harshit Rana 16(12)

#AbdulSamad #KKRvsSRH #KKRvSRH #SRHvKKR #SRHvsKKR #SunrisersHyderabad #IPLPlayoffs #Qualifer1 #TATAIPL2024 #TATAIPL #IPL #IPL2024 #MyKhelTelugu 
#KKRvsSRH",,1,2,0.0
SOMAN18,2024-05-21T14:34:04.000Z,"Abdul Samad c Shreyas Iyer b Harshit Rana 16(12)

#AbdulSamad #KKRvsSRH #KKRvSRH #SRHvKKR #SRHvsKKR #SunrisersHyderabad #IPLPlayoffs #Qualifer1 #TATAIPL2024 #TATAIPL #IPL #IPL2024 #MyKhelTelugu 
#KKRvsSRH",,1,2,0.0
Saabir Zafar,2024-05-21T14:39:09.000Z,"Abdul Samad c Shreyas Iyer b Harshit Rana 16(12)

#AbdulSamad #KKRvsSRH #KKRvSRH #SRHvKKR #SRHvsKKR #SunrisersHyderabad #IPLPlayoffs #Qualifer1 #TATAIPL2024 #TATAIPL #IPL #IPL2024 #MyKhelTelugu 
#KKRvsSRH",,1,2,0.0
Aayush Gupta,2024-05-21T14:40:32.000Z,"Abdul Samad c Shreyas Iyer b Harshit Rana 16(12)

#AbdulSamad #KKRvsSRH #KKRvSRH #SRHvKKR #SRHvsKKR #SunrisersHyderabad #IPLPlayoffs #Qualifer1 #TATAIPL2024 #TATAIPL #IPL #IPL2024 #MyKhelTelugu 
#KKRvsSRH",,1,2,0.0
Bakar,2024-05-21T14:10:33.000Z,"Abdul Samad c Shreyas Iyer b Harshit Rana 16(12)

#AbdulSamad #KKRvsSRH #KKRvSRH #SRHvKKR #SRHvsKKR #SunrisersHyderabad #IPLPlayoffs #Qualifer1 #TATAIPL2024 #TATAIPL #IPL #IPL2024 #MyKhelTelugu 
#KKRvsSRH",,1,2,0.0
Yash Barjatya,2024-05-21T14:09:37.000Z,"Starc bhai aapne galti se World Cup wali ball daal di 

#ipl2024 #KKRvsSRH",,3,3,0.0
I AM VIKASH,2024-05-21T14:07:09.000Z,"Starc bhai aapne galti se World Cup wali ball daal di 

#ipl2024 #KKRvsSRH",,3,3,0.0
Terminator,2024-05-21T14:38:58.000Z,"Starc bhai aapne galti se World Cup wali ball daal di 

#ipl2024 #KKRvsSRH",,3,3,0.0
Prem Mohanty,2024-05-21T14:08:16.000Z,"Starc bhai aapne galti se World Cup wali ball daal di 

#ipl2024 #KKRvsSRH",,3,3,0.0
𝕵𝖆𝖘𝖆𝖗𝖆𝖏 𝕷𝖊𝖌𝖍𝖆,2024-05-21T12:31:06.000Z,"#ipl #ipl2024 #rajasthan #royal #hallabol #sanjusamson  #sanju #royalforeverStarc bhai aapne galti se World Cup wali ball daal di 

#ipl2024 #KKRvsSRH",,3,3,0.0
ᴹᵃʸᵃⁿᵏ⁴⁵,2024-05-21T11:07:25.000Z,"Starc bhai aapne galti se World Cup wali ball daal di 

#ipl2024 #KKRvsSRH",,3,3,0.0
Ashok bishnoi,2024-05-21T13:58:09.000Z,"कोन जाएगा उपर ये कल शाम तय करेगी #PlayBold #ನಮ್ಮRCB #IPL2024 #RCBVSRR 
#JagannathParivar #BSCYB",,1,2,0.0
Shivani Kapur,2024-05-21T12:05:42.000Z,"कोन जाएगा उपर ये कल शाम तय करेगी #PlayBold #ನಮ್ಮRCB #IPL2024 #RCBVSRR 
#JagannathParivar #BSCYB",,1,2,0.0
Aamir Khan 𓀠,2024-05-21T13:23:24.000Z,"कोन जाएगा उपर ये कल शाम तय करेगी #PlayBold #ನಮ್ಮRCB #IPL2024 #RCBVSRR 
#JagannathParivar #BSCYB",,1,2,0.0
BHARAT UPDATE,2024-05-21T13:56:52.000Z,"कोन जाएगा उपर ये कल शाम तय करेगी #PlayBold #ನಮ್ಮRCB #IPL2024 #RCBVSRR 
#JagannathParivar #BSCYB",,1,2,0.0
Krazy_Khadija 2.0,2024-05-21T14:33:44.000Z,"कोन जाएगा उपर ये कल शाम तय करेगी #PlayBold #ನಮ್ಮRCB #IPL2024 #RCBVSRR 
#JagannathParivar #BSCYB",,1,2,0.0
Gully Cricketer,2024-05-21T10:59:36.000Z,"Two of the most  openers in #IPL2024, are all set to collide! 

 #SunilNarine or #TravisHead will help their side guide into the #IPLFinals? 

 | #Qualifier1| #KKRvSRH",,2,4,0.4003
Muiez Kazi ,2024-05-21T15:01:37.000Z,"Two of the most  openers in #IPL2024, are all set to collide! 

 #SunilNarine or #TravisHead will help their side guide into the #IPLFinals? 

 | #Qualifier1| #KKRvSRH",,2,4,0.4003
𝑺𝒉𝒆𝒓𝒓𝒚 𝑨𝒓𝒂𝒊𝒏,2024-05-21T14:20:39.000Z,"𝑺𝒉𝒆𝒓𝒓𝒚 𝑨𝒓𝒂𝒊𝒏
@Sirf_Teraa
·
May 19
IPL Prediction Time !

Match 70: RR Vs KKR

Winner: KKRTwo of the most  openers in #IPL2024, are all set to collide! 

 #SunilNarine or #TravisHead will help their side guide into the #IPLFinals? 

 | #Qualifier1| #KKRvSRH",,2,4,0.7772
Dj,2024-05-21T13:09:21.000Z,"Two of the most  openers in #IPL2024, are all set to collide! 

 #SunilNarine or #TravisHead will help their side guide into the #IPLFinals? 

 | #Qualifier1| #KKRvSRH",,2,4,0.4003
The sports,2024-05-21T11:40:16.000Z,"From 
jetti's__IncognitoTwo of the most  openers in #IPL2024, are all set to collide! 

 #SunilNarine or #TravisHead will help their side guide into the #IPLFinals? 

 | #Qualifier1| #KKRvSRH",,2,4,0.4003
AKASH AK,2024-05-29T15:51:03.000Z,"Magical moments in last year finals  

#IPL2023 #CSK",,1,1,0.0
ℙ𝕒𝕣𝕥𝕙𝕚 𝔸𝕜,2024-05-26T13:14:57.000Z,"Magical moments in last year finals  

#IPL2023 #CSK",,1,1,0.0
Sowmyanarayanan,2024-05-29T16:25:52.000Z,"#CSK #Yellove #IPL2023 #IPLFinal23Magical moments in last year finals  

#IPL2023 #CSK",,1,1,0.0
Yellove aficionado,2024-05-29T17:13:49.000Z,"Chennai Super Kings
@ChennaiIPL
·
4h
Drop your favourite moment  from the Finale of IPL2023! 

#ReliveChampions23 #WhistlePodu Magical moments in last year finals  

#IPL2023 #CSK",,1,1,0.4753
Nilvez ☢︎,2024-05-29T09:02:25.000Z,"Magical moments in last year finals  

#IPL2023 #CSK",,1,1,0.0
Cricketman,2024-05-29T05:04:49.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3,0.8442
Mumbai Indians,2023-03-26T08:21:28.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3,0.8442
𝑨𝑵𝑲𝑰𝑻 𝒙 𝑹𝑪𝑩,2024-04-25T04:59:19.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3,0.8442
Royal Challengers Bengaluru,2023-05-01T18:07:25.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3,0.8442
Cricbuzz,2024-05-29T04:04:08.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3,0.8442
Wisden India,2024-05-29T05:29:21.000Z,"On this day Chennai super kings win the 5 time title bye Gujarat Titans last ball thriller at Ahmedabad stadium  

#IPL2023 #IPL #CSKvsGT",,,3,0.8442
Mumbai Indians,2023-04-06T15:17:19.000Z,"𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K,0.0
Dr.MAITREYA,2024-05-11T17:42:24.000Z,"𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K,0.0
SaiRam Reddy,2024-05-23T11:19:07.000Z,"0:15𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K,0.0
RVCJ Sports,2024-05-17T18:55:04.000Z,"𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K,0.0
GetsCinema,2024-04-25T04:44:42.000Z,"𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K,0.0
Mumbai Indians,2023-05-21T18:40:01.000Z,"Tilak Varma and 3 others𝑷𝒂𝒍𝒕𝒂𝒏, batao kaun aaya? 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL",833,1K,17K,0.0
News & Quotes,2024-05-24T17:43:05.000Z,"#FollowBackFriday!
I #follo ALL who #FolloMe! #tbt #instagood #beautiful #likes #photooftheday #picoftheday #happy #photography #art #fashion #music #reels #IPL2023 #Adipurush #like #likeforlikes #instagram #ico #ethereum #F4F #FollowBackFriday #FBFriday #FBF #FBPE #FBIW #ico #ff",1,,2,0.0
Mumbai Indians,2023-05-24T18:58:07.000Z,"Rohit Sharma#FollowBackFriday!
I #follo ALL who #FolloMe! #tbt #instagood #beautiful #likes #photooftheday #picoftheday #happy #photography #art #fashion #music #reels #IPL2023 #Adipurush #like #likeforlikes #instagram #ico #ethereum #F4F #FollowBackFriday #FBFriday #FBF #FBPE #FBIW #ico #ff",1,,2,0.0
Madras Man,2024-05-20T04:07:44.000Z,"This media has been disabled in response to a report by the copyright owner.
From 
dr__strange__#FollowBackFriday!
I #follo ALL who #FolloMe! #tbt #instagood #beautiful #likes #photooftheday #picoftheday #happy #photography #art #fashion #music #reels #IPL2023 #Adipurush #like #likeforlikes #instagram #ico #ethereum #F4F #FollowBackFriday #FBFriday #FBF #FBPE #FBIW #ico #ff",1,,2,0.0
Royal Challengers Bengaluru,2023-04-06T14:32:00.000Z,"#FollowBackFriday!
I #follo ALL who #FolloMe! #tbt #instagood #beautiful #likes #photooftheday #picoftheday #happy #photography #art #fashion #music #reels #IPL2023 #Adipurush #like #likeforlikes #instagram #ico #ethereum #F4F #FollowBackFriday #FBFriday #FBF #FBPE #FBIW #ico #ff",1,,2,0.0
Mahe(sh)ndra's Fan Boy™,2024-05-29T01:35:52.000Z,"Undoubtedly #CSKvsGT last year Final #IPL2023#FollowBackFriday!
I #follo ALL who #FolloMe! #tbt #instagood #beautiful #likes #photooftheday #picoftheday #happy #photography #art #fashion #music #reels #IPL2023 #Adipurush #like #likeforlikes #instagram #ico #ethereum #F4F #FollowBackFriday #FBFriday #FBF #FBPE #FBIW #ico #ff",1,,2,0.0
News & Quotes,2024-05-24T08:15:17.000Z,"#FollowBackFriday!
I #follo ALL who #FolloMe! #tbt #instagood #beautiful #likes #photooftheday #picoftheday #happy #photography #art #fashion #music #reels #IPL2023 #Adipurush #like #likeforlikes #instagram #ico #ethereum #F4F #FollowBackFriday #FBFriday #FBF #FBPE #FBIW #ico #ff",1,,2,0.0
Mumbai Indians,2023-04-17T16:06:47.000Z,"Captain Ro Hyderabad వచ్చెసాడు! 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL 
@ImRo45",414,2.7K,9.6K,0.0
Mumbai Indians,2023-04-29T05:08:19.000Z,"Rohit SharmaCaptain Ro Hyderabad వచ్చెసాడు! 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL 
@ImRo45",414,2.7K,9.6K,0.0
ABP Nadu,2024-04-25T05:10:14.000Z,"Captain Ro Hyderabad వచ్చెసాడు! 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL 
@ImRo45",414,2.7K,9.6K,0.0
Minnambalam,2024-05-29T07:08:01.000Z,"Captain Ro Hyderabad వచ్చెసాడు! 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL 
@ImRo45",414,2.7K,9.6K,0.0
Cricket Animations,2024-04-28T21:53:14.000Z,"Captain Ro Hyderabad వచ్చెసాడు! 

#OneFamily #MumbaiMeriJaan #MumbaiIndians #IPL2023 #TATAIPL 
@ImRo45",414,2.7K,9.6K,0.0
Dinakaran,2024-05-29T06:19:11.000Z,"கடந்த வருடம் சென்னை சூப்பர் கிங்ஸ் அணி 5வது ஐபிஎல் கோப்பையை வென்ற நாள் இன்று

#ChennaiSuperkings #Ipl2023 #Dinakarannews",1,2,26,0.0
Afghan Cricket Association - ACA,2024-04-11T07:24:11.000Z,"Rashid Khanகடந்த வருடம் சென்னை சூப்பர் கிங்ஸ் அணி 5வது ஐபிஎல் கோப்பையை வென்ற நாள் இன்று

#ChennaiSuperkings #Ipl2023 #Dinakarannews",1,2,26,0.0
Sandesh,2024-03-31T04:34:15.000Z,"கடந்த வருடம் சென்னை சூப்பர் கிங்ஸ் அணி 5வது ஐபிஎல் கோப்பையை வென்ற நாள் இன்று

#ChennaiSuperkings #Ipl2023 #Dinakarannews",1,2,26,0.0
News & Quotes,2024-05-07T18:57:51.000Z,"1
3
172கடந்த வருடம் சென்னை சூப்பர் கிங்ஸ் அணி 5வது ஐபிஎல் கோப்பையை வென்ற நாள் இன்று

#ChennaiSuperkings #Ipl2023 #Dinakarannews",1,2,26,0.0
Thanthi TV,2024-04-21T17:45:37.000Z,"கடந்த வருடம் சென்னை சூப்பர் கிங்ஸ் அணி 5வது ஐபிஎல் கோப்பையை வென்ற நாள் இன்று

#ChennaiSuperkings #Ipl2023 #Dinakarannews",1,2,26,0.0
News Tamil 24x7 | நியூஸ் தமிழ் 24x7,2024-05-29T07:26:47.000Z,"கடந்த வருடம் சென்னை சூப்பர் கிங்ஸ் அணி 5வது ஐபிஎல் கோப்பையை வென்ற நாள் இன்று

#ChennaiSuperkings #Ipl2023 #Dinakarannews",1,2,26,0.0
Goutham Saravanan,2024-05-23T11:03:07.000Z,"2
459HOSPITALITY BOX TICKETS FOR QUALIFIER 2.

₹15000 ON INSIDER. GRAB YOUR TICKETS FAST

#IPL2023 #iplqualifiers #IPL2024 #SRHvsRR #KKRvsRR",,,2,0.0
Sports Vikatan,2024-04-27T05:38:10.000Z,"HOSPITALITY BOX TICKETS FOR QUALIFIER 2.

₹15000 ON INSIDER. GRAB YOUR TICKETS FAST

#IPL2023 #iplqualifiers #IPL2024 #SRHvsRR #KKRvsRR",,,2,0.0
Cricbuzz,2024-05-10T11:09:47.000Z,"HOSPITALITY BOX TICKETS FOR QUALIFIER 2.

₹15000 ON INSIDER. GRAB YOUR TICKETS FAST

#IPL2023 #iplqualifiers #IPL2024 #SRHvsRR #KKRvsRR",,,2,0.0
InsideSport,2024-05-04T07:10:15.000Z,"HOSPITALITY BOX TICKETS FOR QUALIFIER 2.

₹15000 ON INSIDER. GRAB YOUR TICKETS FAST

#IPL2023 #iplqualifiers #IPL2024 #SRHvsRR #KKRvsRR",,,2,0.0
IndianPremierLeague,2023-05-29T19:41:03.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comHOSPITALITY BOX TICKETS FOR QUALIFIER 2.

₹15000 ON INSIDER. GRAB YOUR TICKETS FAST

#IPL2023 #iplqualifiers #IPL2024 #SRHvsRR #KKRvsRR",,,2,0.0
IndianPremierLeague,2023-05-29T19:19:34.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comHOSPITALITY BOX TICKETS FOR QUALIFIER 2.

₹15000 ON INSIDER. GRAB YOUR TICKETS FAST

#IPL2023 #iplqualifiers #IPL2024 #SRHvsRR #KKRvsRR",,,2,0.0
IndianPremierLeague,2023-05-29T19:46:07.000Z,"IPLT20.com - Indian Premier League Official Website - Results
From iplt20.comFINAL. 12.3: Mohit Sharma to Ambati Rayudu 6 runs, Chennai Super Kings 149/3 https://bit.ly/TATAIPL-2023-FINAL… #Final #TATAIPL #IPL2023",5,13,138,0.5994
Republic Bharat - रिपब्लिक भारत,2024-04-25T06:18:38.000Z,"एक्ट्रेस तमन्ना भाटिया की बढ़ीं मुश्किलें, IPL स्ट्रीमिंग को लेकर महाराष्ट्र साइबर सेल ने भेजा समन...
From republicbharat.comFINAL. 12.3: Mohit Sharma to Ambati Rayudu 6 runs, Chennai Super Kings 149/3 https://bit.ly/TATAIPL-2023-FINAL… #Final #TATAIPL #IPL2023",5,13,138,0.5994
CricTracker,2024-04-13T17:20:08.000Z,"1
3
41
3.8KFINAL. 12.3: Mohit Sharma to Ambati Rayudu 6 runs, Chennai Super Kings 149/3 https://bit.ly/TATAIPL-2023-FINAL… #Final #TATAIPL #IPL2023",5,13,138,0.5994
Sports Vikatan,2024-04-22T04:22:07.000Z,"Virat Kohli's No Ball Review: `ஆவேசமடைந்த கோலி!' - அது நோபாலா இல்லையா?
From sports.vikatan.comFINAL. 12.3: Mohit Sharma to Ambati Rayudu 6 runs, Chennai Super Kings 149/3 https://bit.ly/TATAIPL-2023-FINAL… #Final #TATAIPL #IPL2023",5,13,138,0.4574
ਪੀਟੀਸੀ ਨਿਊਜ਼ | PTC News,2024-04-25T06:35:18.000Z,"Maharashtra cyber summons actress Tamannaah Bhatia in IPL streaming investigation
From ptcnews.tvFINAL. 12.3: Mohit Sharma to Ambati Rayudu 6 runs, Chennai Super Kings 149/3 https://bit.ly/TATAIPL-2023-FINAL… #Final #TATAIPL #IPL2023",5,13,138,0.5994
Himachal Abhi Abhi,2024-05-02T12:09:11.000Z,"IPL 2024: धर्मशाला पहुंची पंजाब टीम , 5 मई को चेन्नई के साथ मुकाबला
From himachalabhiabhi.comFINAL. 12.3: Mohit Sharma to Ambati Rayudu 6 runs, Chennai Super Kings 149/3 https://bit.ly/TATAIPL-2023-FINAL… #Final #TATAIPL #IPL2023",5,13,138,0.5994
News7 Tamil,2024-04-25T05:52:38.000Z,"1
2
14
5.4KFINAL. 12.3: Mohit Sharma to Ambati Rayudu 6 runs, Chennai Super Kings 149/3 https://bit.ly/TATAIPL-2023-FINAL… #Final #TATAIPL #IPL2023",5,13,138,0.5994
100MB,2024-03-31T14:08:27.000Z,"11
531FINAL. 12.3: Mohit Sharma to Ambati Rayudu 6 runs, Chennai Super Kings 149/3 https://bit.ly/TATAIPL-2023-FINAL… #Final #TATAIPL #IPL2023",5,13,138,0.5994
Hemant Brar,2024-04-17T14:32:05.000Z,"113The only way to quicken the DRS process is to make UltraEdge and ball-tracking load faster.

#IPL2023 | #CricketTwitter",,,,0.0
News18 CricketNext,2024-04-17T01:56:21.000Z,"news18.com
Jos Buttler Channels Virat Kohli and MS Dhoni Spirit; Scripts His Greatest IPL Knock For An Epic...
Jos Buttler had struggled to get going but pulled through in the end for the Royals to script an epic win over KKR.The only way to quicken the DRS process is to make UltraEdge and ball-tracking load faster.

#IPL2023 | #CricketTwitter",,,,0.8151
ABP News,2024-04-16T11:35:34.000Z,"आज कोलकाता-राजस्थान में भिड़ंत, जानें हेड-टू-हेड, प्लेइंग XI, पिच रिपोर्ट और मैच प्रिडिक्शन
From abplive.comThe only way to quicken the DRS process is to make UltraEdge and ball-tracking load faster.

#IPL2023 | #CricketTwitter",,,,0.0
PuthiyathalaimuraiTV,2024-04-25T15:15:06.000Z,"IPL ஒளிபரப்பு விவகாரம் | நடிகை தமன்னாவுக்கு மும்பை போலீஸ் சம்மன்..
From puthiyathalaimurai.comThe only way to quicken the DRS process is to make UltraEdge and ball-tracking load faster.

#IPL2023 | #CricketTwitter",,,,0.0
Analyst,2024-04-18T17:19:50.000Z,"Analyst
@BoAnalyst
·
Apr 18
Prediction : Mumbai Should Win This If Jasprit Bumrah Takes 3+ Wickets

If Not, Punjab Will Win This 
Show moreThe only way to quicken the DRS process is to make UltraEdge and ball-tracking load faster.

#IPL2023 | #CricketTwitter",,,,0.8225
SaamTV News,2024-04-29T09:51:19.000Z,"IPL मॅचचं बेकायदेशीर स्ट्रीमिंग प्रकरण, तमन्ना भाटियाने चौकशीसाठी मागितला वेळ
From saamtv.esakal.comThe only way to quicken the DRS process is to make UltraEdge and ball-tracking load faster.

#IPL2023 | #CricketTwitter",,,,0.0
Mid Day,2024-04-25T13:17:25.000Z,"IPL 2024: Can bottom-placed RCB qualify for playoffs? All possible scenarios
From mid-day.comThe only way to quicken the DRS process is to make UltraEdge and ball-tracking load faster.

#IPL2023 | #CricketTwitter",,,,0.0
Circle of Cricket,2024-04-18T16:45:42.000Z,"IPL 2024: WATCH- Jasprit Bumrah's lethal inswinging yorker rattles the stumps of PBKS' Rilee Russouw
From circleofcricket.com.
@Jaspritbumrah93
 weaved his magic once again and cleaned up #PBKS batter Rilee Russouw with a sensational yorker.

#IPL2023 #PBKSvMI",,,3,0.0
SakalMedia,2024-04-29T14:58:19.000Z,"Viral Video: गिल लावत होता फिल्डिंग अन् विराटने अचानक येऊन दिला जोरात धक्का, GT vs RCB सामन्यावेळी...
From esakal.com.
@Jaspritbumrah93
 weaved his magic once again and cleaned up #PBKS batter Rilee Russouw with a sensational yorker.

#IPL2023 #PBKSvMI",,,3,0.4278
Mohandas Menon,2024-03-24T04:45:55.000Z,"6
11
136
11K.
@Jaspritbumrah93
 weaved his magic once again and cleaned up #PBKS batter Rilee Russouw with a sensational yorker.

#IPL2023 #PBKSvMI",,,3,0.0
LatestLY,2024-04-25T04:33:35.000Z,"Tamannaah Bhatia Summoned by Maharashtra Cyber in Illegal IPL 2023 Streaming Case on FairPlay App |...
From latestly.com.
@Jaspritbumrah93
 weaved his magic once again and cleaned up #PBKS batter Rilee Russouw with a sensational yorker.

#IPL2023 #PBKSvMI",,,3,-0.5574
LoksattaLive,2024-05-26T12:04:44.000Z,"आजारपणानंतरही IPL च्या अंतिम सामन्याला उपस्थित राहणार शाहरुख खान! आर्यन-सुहानासह सगळेच मित्रमंडळी...
From loksatta.com.
@Jaspritbumrah93
 weaved his magic once again and cleaned up #PBKS batter Rilee Russouw with a sensational yorker.

#IPL2023 #PBKSvMI",,,3,0.0
